Indikator,Tipe,preprocessed_text
"Jika saya ada di keadaan seperti itu, saya tidak akan mengumpulkan terlebih dahulu. Namun, saya akan terus membaca dan mengoreksi soal hingga jawaban yang telah saya tulis. Sembari menunggu teman teman yang lain selesai. ",F,kumpul baca koreksi tulis sembari tunggu teman teman selesai
Saya akan menunggu teman teman yang lain selesai menjawab sambil saya mengoreksi kertas ulangan saya,F,tunggu teman teman selesai koreksi kertas ulang
"mengoreksi kembali jawabannya.
lalu mengumpulkan terlebih dahulu.",T,koreksi jawab kumpul
menunggu teman sambil mengoreksi jawaban kembali,F,tunggu teman koreksi
jika waktu tersisa 30 menit saya akan menunggu sampai waktu tersisa 10 menit karena saya tida tega untuk meninggalkan teman saya ,F,sisa menit tunggu sisa menit tida tega tinggal teman
menunggu teman teman selesai menjawab seluruh pertanyaan karena jika suwaktu waktu teman bertanya kita bisa memberi bantuan,F,tunggu teman teman selesai suwaktu teman bantu
saya lebih baik menunggu teman terlebih dahulu kecuali waktu ujian telah selesai ,F,tunggu teman kecuali uji selesai
Saya akan mengumpulkannya terlebih dahulu karena bagi saya waktu itu berharga.,T,kumpul harga
"Saya akan melakukan motivasi untuk teman saya supaya dia lebih cepat untuk mengerjakannya, menunggu teman teman menjawab seluruh pertanyaan ",F,motivasi teman cepat kerja tunggu teman teman
Melihat lagi dan mencocokan semua jawaban yang ada karena masih banyak waktu yang terbuang buang untuk memperbaiki jawaban kita,T,cocok buang buang baik
menunggu teman selesai,F,tunggu teman selesai
Mengumpulkan lebih dulu,T,kumpul
menunggu teman-teman yang lain mengumpulkan dahulu,F,tunggu teman teman kumpul
menunggu teman teman,F,tunggu teman teman
saya sering menunggu teman teman untuk mengumpulkannya ,F,tunggu teman teman kumpul
menunggu teman dan melihat kembali jawaban saya,F,tunggu teman
Saya akan menunggu teman yang lain ,F,tunggu teman
saya akan meneliti jawaban lalu mengumpulkan jawabannya terlebih dahulu ,T,teliti kumpul jawab
saya akan mengumpulkan terlebih dahulu,T,kumpul
menunggu teman teman yang lain,F,tunggu teman teman
"dikoreksi, dikumpulin, trus main game",T,koreksi dikumpulin main game
Menunggu teman teman selesai menjawab,F,tunggu teman teman selesai
"Menunggu terlebih dahulu sembari bersantai, ",F,tunggu sembari santa
menunggu teman ,F,tunggu teman
"Mengecek ulang, dan mengumpulkannya ketika waktu tersisa 5-10 menit",T,ecek ulang kumpul sisa menit
Menunggu teman teman yang lain selesai ,F,tunggu teman teman selesai
"Saya biasanya akan mengoreksi kembali jawaban saya lalu menunggu waktu habis baru mengumpulkan, biasanya dalam waktu kosong tersebut saya habiskan untuk mencoret coret kertas karena bosan",F,koreksi tunggu habis kumpul kosong habis coret coret kertas bosan
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan tersebut,F,tunggu teman teman selesai
Menunggu teman teman saya untuk menyelesaikan tugas mereka,F,tunggu teman teman selesai tugas
mengeceknya kembali dan mengumpulkannya bareng-bareng.,F,ecek kumpul bareng bareng
Aku akan lakukan pengecekan ulang terhadap ujianku ,T,laku kece ulang uji
Saya akan menunggu teman teman yang lain selesai,F,tunggu teman teman selesai
"jika nilai yang mengumpulkan lebih besar saya akan mengumpulkannya terlebih dahulu, akan tetapi jika sama saja saya akan menunggu bersama teman""",F,nilai kumpul kumpul tunggu teman
Menunggu Teman Teman,F,tunggu teman teman
"saya akan mengecek jawaban kembali apabila ada jawaban yang ragu ragu, tetapi apabila saya rasa tidak ada yang perlu diperbaiki maka saya akan kumpulkan terlebih dahulu",T,ecek ragu ragu baik kumpul
Merevisi / mengkoreksi ulang hasil ujian tersebut ,T,revisi koreksi ulang hasil uji
Dengan kurun waktu sebanyak itu saya akan melakukan pengecekan ulang hasil pengerjaan saya. Karena dengan waktu sebanyak itu sangat cukup bila dimanfaatkan dengan baik. ,T,kurun kece ulang hasil kerja manfaat
Menunggu teman² sambil mengoreksi kembali ,F,tunggu teman koreksi
"Saya akan menunggu teman-teman yang lain selesai menjawab seluruh pertanyaan, kecuali jika ada aturan khusus yang mengharuskan saya untuk mengumpulkan lebih awal",F,tunggu teman teman selesai kecuali atur khusus harus kumpul
melihat-lihat kembali jawabnku dan menunggu temanku,F,lihat jawabnku tunggu teman
Saya akan mengecek kembali apakah jawaban tersebut telah di isi dan sudah benar jika di rasa sudah semua maka saya akan menunggu waktu sekitar 10 menit baru saya mengumpulkan kalau mengumpulkan di waktu 30 menit maka pengawas akan bertanya-tanya apakah soal tersebut di jawab benar atau hanya mengisi secara ngawur,F,ecek isi tunggu menit kumpul kumpul menit awas isi ngawur
"Tergantung keyakinan sih mas, bukan agama lho, tapi apakah saya yakin dengan jawaban saya, kalau yakin ya gas kumpulin, kalau ngga ya jangan dulu",T,gantung yakin sih mas agama loh iya gas kumpulin iya
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan.,F,tunggu teman teman selesai
menunggu teman,F,tunggu teman
saya akan menunggu teman saya dan menunggu kepastian dari teman saya,F,tunggu teman tunggu pasti teman
menunggu teman-teman yang lain,F,tunggu teman teman
mengumpulkan terlebih dahulu,T,kumpul
Menunggu hingga waktu habis dan pada saat menunggu tersebut saya akan meneliti kembali jawaban saya apakah sudah benar atau tidak,T,tunggu habis tunggu teliti
"Mengumpulkan terlebih dahulu setelah selesai mengulasnya kembali, karena waktu 30 menit lebih berharga menurut saya daripada hanya sekedar menunggu",T,kumpul selesai ulas menit harga dar tunggu
"saya akan lebih dulu menyelesaikan ujian tersebut, tetapi juga menunggu teman yang lain mengumpulkan.",F,selesai uji tunggu teman kumpul
mengecek ulang apa yang telah kita kerjakan sudah betul betul benar apa belum,T,ecek ulang kerja
"saya akan menunggu teman teman yang lainnya sambil mengecek kembali jawaban saya, apakah ada yang salah atau tidak",F,tunggu teman teman ecek salah
saya cenderung menunggu teman-teman saya selesai menjawab seluruh pertanyaan,F,cenderung tunggu teman teman selesai
Saya akan mengoreksi kembali jawaban saya dan mengumpulkannya jika saya sudah yakin dengan jawaban saya,T,koreksi kumpul
"Saya akan memeriksa kembali jawaban saya, dan menunggu waktu yang telah ditentukan akan habis terlebih dahulu karena biasanya saat mendekati 5 menit terakhir teman teman sudah akan mengumpulkan ",F,periksa tunggu tentu habis dekat menit teman teman kumpul
Saya mengumpulkan terlebih dahulu,T,kumpul
tergantung dengan mata pelajaran atau mood saya pada saat itu. tetapi saya cenderung menunggu setidaknya satu teman saya supaya saya tidak maju sendirian,F,gantung mata ajar mood cenderung tunggu teman maju
menunggu teman-teman yang lain selesai menjawab seluruh pertanyaan ,F,tunggu teman teman selesai
"saya akan mengoreksi ujian saya dahulu, lalu saya akan mengumpulkannya ",T,koreksi uji kumpul
Menunggu teman teman yang lain agar bisa mengumulkan bersama sama,F,tunggu teman teman mengumulkan
Saya akan mengecek ulang kembali jawaban dan soal² yang sudah saya kerjakan,T,ecek ulang kerja
saya akan mengecek ulang hasil ulangan saya,T,ecek ulang hasil ulang
Menunggu teman-teman yang lain selesai dan mengecek kembali jawaban kita barangkali ada kesalahan,F,tunggu teman teman selesai ecek barangkali salah
"saya biasanya menunggu teman-teman yang lain, setidaknya ada 1 orang lain yang sudah selesai",F,tunggu teman teman orang selesai
sambil menunggu teman yang lainnya selesai menjawab seluruh pertanyaan saya akan mengoreksi lagi jika ada jawaban yang salah,F,tunggu teman selesai koreksi salah
mengumpulkan terlebih dahulu saja,T,kumpul
